id,uid,description,permission-granted,permission-revoked,original-time,save-time
1,1501443,多次在工单下发布无意义回复,0,32768,2025/10/11 10:13,2025/10/11 11:08
2,1880625,使用含有敏感信息的个性签名，多次创建涉及敏感政治的团队,0,2,2025/10/10 21:08,2025/10/11 11:08
3,1513786,"根据用户申请（#HLEE120361）进行调整：\
解除用户申请的禁止各项权限",622592,0,2025/10/10 20:05,2025/10/11 11:08
4,835807,奖项认证使用复活币,524288,0,2025/10/10 16:52,2025/10/11 11:08
5,1210849,提交书面检讨,2,0,2025/10/10 16:45,2025/10/11 11:08
6,1426171,提交书面检讨,2,0,2025/10/10 16:44,2025/10/11 11:08
7,979476,提交书面检讨,2,0,2025/10/10 16:36,2025/10/11 11:08
8,1701279,提交书面检讨,2,0,2025/10/10 16:35,2025/10/11 11:08
9,1030094,提交书面检讨,2,0,2025/10/10 16:33,2025/10/11 11:08
10,1743489,提交书面检讨,32770,0,2025/10/10 16:28,2025/10/11 11:08
11,1786632,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:08
12,1700095,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:08
13,1677571,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:08
14,1631382,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:08
15,1620399,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:08
16,1453070,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:08
17,1430615,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
18,1401604,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
19,1277215,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
20,1246277,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
21,1234445,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
22,1178674,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
23,1043209,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
24,565413,多次比赛作弊,0,2,2025/10/10 16:17,2025/10/11 11:09
25,1908350,"注册大量小号（1806463,1908242,1908350）",0,2,2025/10/10 15:06,2025/10/11 11:09
26,1908242,"注册大量小号（1806463,1908242,1908350）",0,2,2025/10/10 15:06,2025/10/11 11:09
27,1806463,"注册大量小号（1806463,1908242,1908350）",0,2,2025/10/10 15:06,2025/10/11 11:09
28,1328469,"注册大量小号（1806463,1908242,1908350）",0,2,2025/10/10 15:06,2025/10/11 11:09
29,301255,专栏志愿者轮换,516,0,2025/10/10 14:29,2025/10/11 11:09
30,1727580,违规用户资料,0,2,2025/10/9 11:01,2025/10/11 11:09
